date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:52:15	81946/81946	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Nov%202022%2005:52:14%20GMT	https://framerusercontent.com/images/5H25rGqerTYzzaJWx7z6aoGvwE.jpg	C:/xampp/htdocs/httrack/oyen/framerusercontent.com/images/5H25rGqerTYzzaJWx7z6aoGvwE.jpg	(from https://oyen.framer.website/)
12:52:16	107269/107269	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Nov%202022%2005:52:15%20GMT	https://framerusercontent.com/images/pkZlUwmisBUGxCKaUGwbc7Xbog.jpeg	C:/xampp/htdocs/httrack/oyen/framerusercontent.com/images/pkZlUwmisBUGxCKaUGwbc7Xbog.jpg	(from https://oyen.framer.website/)
12:52:17	98266/98266	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Nov%202022%2005:52:16%20GMT	https://framerusercontent.com/images/1Z8yuIs7ESD5NMFT98mjxeVyG4c.jpg	C:/xampp/htdocs/httrack/oyen/framerusercontent.com/images/1Z8yuIs7ESD5NMFT98mjxeVyG4c.jpg	(from https://oyen.framer.website/)
12:52:20	358525/358525	---M--	200	added ('OK')	image/png	date:Fri,%2004%20Nov%202022%2005:52:18%20GMT	https://framerusercontent.com/images/BZO6shXDwDw5yoIhYzHIZOdqQZI.png	C:/xampp/htdocs/httrack/oyen/framerusercontent.com/images/BZO6shXDwDw5yoIhYzHIZOdqQZI.png	(from https://oyen.framer.website/)
12:52:21	429022/429022	---M--	200	added ('OK')	image/png	date:Fri,%2004%20Nov%202022%2005:52:20%20GMT	https://framerusercontent.com/images/p9Pi8vqGoBZH7dTxra7kGEeKkj4.png	C:/xampp/htdocs/httrack/oyen/framerusercontent.com/images/p9Pi8vqGoBZH7dTxra7kGEeKkj4.png	(from https://oyen.framer.website/)
12:52:23	326667/326667	---M--	200	added ('OK')	image/png	date:Fri,%2004%20Nov%202022%2005:52:22%20GMT	https://framerusercontent.com/images/L7RW50gApAtQ3Cn3FkdTwkcq2cU.png	C:/xampp/htdocs/httrack/oyen/framerusercontent.com/images/L7RW50gApAtQ3Cn3FkdTwkcq2cU.png	(from https://oyen.framer.website/)
12:52:25	124716/124716	---M--	200	added ('OK')	image/png	date:Fri,%2004%20Nov%202022%2005:52:24%20GMT	https://framerusercontent.com/images/VITBgbdu54juixpJUTYuMYzEMk.png	C:/xampp/htdocs/httrack/oyen/framerusercontent.com/images/VITBgbdu54juixpJUTYuMYzEMk.png	(from https://oyen.framer.website/)
12:52:26	522073/522073	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Nov%202022%2005:52:25%20GMT	https://framerusercontent.com/images/BotOuB5lzkPuy5myiFiczkpiks.jpg	C:/xampp/htdocs/httrack/oyen/framerusercontent.com/images/BotOuB5lzkPuy5myiFiczkpiks.jpg	(from https://oyen.framer.website/)
12:52:27	35366/35366	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Nov%202022%2005:52:26%20GMT	https://framerusercontent.com/images/1jqcbUkl9HENl1Fq79zBWBwvhI.jpg	C:/xampp/htdocs/httrack/oyen/framerusercontent.com/images/1jqcbUkl9HENl1Fq79zBWBwvhI.jpg	(from https://oyen.framer.website/)
12:52:28	2801/2801	---M--	200	added ('OK')	image/png	date:Fri,%2004%20Nov%202022%2005:52:27%20GMT	https://framerusercontent.com/images/xdKvRwBiKekoBqEW2pJSCSJh0.png	C:/xampp/htdocs/httrack/oyen/framerusercontent.com/images/xdKvRwBiKekoBqEW2pJSCSJh0.png	(from https://oyen.framer.website/)
